words,text,ann,nes,difference,llama_output3nes
"['Épidémiologie', 'et', 'impact', 'économique', 'de', ""l'"", 'insuffisance', 'cardiaque', 'en', 'France']",Épidémiologie et impact économique de l' insuffisance cardiaque en France,"['B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B']",1,"Output: ""Épidémiologie et impact économique de l' @@insuffisance cardiaque## en @@France##."""
"[""L'"", 'épidémiologie', 'de', ""l'"", 'insuffisance', 'cardiaque', 'est', 'relativement', 'peu', 'connue', 'en', 'France', ',', 'malgré', 'son', 'impact', 'économique', 'considérable', 'sur', 'le', 'système', 'de', 'santé', ',', 'cela', 'alors', 'même', 'que', 'cette', 'contrainte', 'devrait', 'encore', 'augmenter', '.']","L' épidémiologie de l' insuffisance cardiaque est relativement peu connue en France , malgré son impact économique considérable sur le système de santé , cela alors même que cette contrainte devrait encore augmenter .","['O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"Output: ""L'épidémiologie de l'insuffisance cardiaque est relativement peu connue en France, malgré son impact économique considérable sur le système de santé, cela alors même que cette contrainte devrait encore augmenter."""
"['Quelques', 'chiffres', 'français', 'importants', ':', 'le', 'nombre', ""d'"", 'insuffisants', 'cardiaques', 'est', ""d'"", 'environ', '500', '000', ',', 'il', 'y', 'a', '120', '000', 'nouveaux', 'cas', 'chaque', 'année', '.']","Quelques chiffres français importants : le nombre d' insuffisants cardiaques est d' environ 500 000 , il y a 120 000 nouveaux cas chaque année .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: ""Quelques chiffres français importants : le nombre d' @@insuffisants cardiaques## est d' environ 500 000, il y a 120 000 nouveaux cas chaque année."""
"[""L'"", 'incidence', 'passe', 'de', '4', '‰', 'chez', 'les', 'hommes', 'et', '3', '‰', 'chez', 'les', 'femmes', 'de', 'SS', 'à', '64', 'ans', 'à', '50', '‰', 'chez', 'les', 'hommes', 'et', '85', '‰', 'chez', 'les', 'femmes', 'de', '85', 'à', '94', 'ans', '.']",L' incidence passe de 4 ‰ chez les hommes et 3 ‰ chez les femmes de SS à 64 ans à 50 ‰ chez les hommes et 85 ‰ chez les femmes de 85 à 94 ans .,"['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: ""L'incidence passe de 4‰ chez les hommes et 3‰ chez les femmes de SS à 64 ans à 50‰ chez les hommes et 85‰ chez les femmes de 85 à 94 ans."""
"[""L'"", 'âge', 'moyen', 'de', 'survenue', 'de', ""l'"", 'insuffisance', 'cardiaque', 'est', 'de', '73.5', 'ans', ':', 'deux', 'tiers', 'des', 'patients', 'ont', 'plus', 'de', '70', 'ans', '.']",L' âge moyen de survenue de l' insuffisance cardiaque est de 73.5 ans : deux tiers des patients ont plus de 70 ans .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: ""L' âge moyen de survenue de l' @@insuffisance cardiaque## est de 73.5 ans : deux tiers des patients ont plus de 70 ans."""
"['Environ', '3.5', 'millions', 'de', 'consultations', 'et', '150', '000', 'hospitalisations', 'par', 'an', ',', 'sont', 'réalisées', 'pour', 'insuffisance', 'cardiaque', '.']","Environ 3.5 millions de consultations et 150 000 hospitalisations par an , sont réalisées pour insuffisance cardiaque .","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']",0,"Output: ""Environ 3.5 millions de consultations## et 150 000 hospitalisations## par an## sont réalisées pour l' @@insuffisance cardiaque##."""
"['La', 'durée', 'moyenne', 'de', 'séjour', 'est', 'de', '11', 'jours', '.']",La durée moyenne de séjour est de 11 jours .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: ""La durée moyenne de séjour est de 11 jours."""
"['Plus', 'de', '32', '000', 'décès', 'annuels', 'sont', 'en', 'rapport', 'avec', 'une', 'insuffisance', 'cardiaque', '.']",Plus de 32 000 décès annuels sont en rapport avec une insuffisance cardiaque .,"['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']",0,"Output: ""Plus de 32 000 décès annuels sont en rapport avec une @@insuffisance cardiaque##."""
"['Les', 'dépenses', 'liées', 'à', ""l'"", 'insuffisance', 'cardiaque', 'représentent', 'plus', 'de', '1', '%', 'des', 'dépenses', 'médicales', 'totales', '.']",Les dépenses liées à l' insuffisance cardiaque représentent plus de 1 % des dépenses médicales totales .,"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O']",0,"Output: ""Les dépenses liées à l' @@insuffisance cardiaque## representent plus de 1 % des dépenses médicales totales."""
"[""L'"", 'insuffisance', 'cardiaque', 'est', 'un', 'problème', 'majeur', 'de', 'santé', 'publique', ',', 'et', 'il', ""l'"", 'est', 'de', 'plus', 'en', 'plus', '.']","L' insuffisance cardiaque est un problème majeur de santé publique , et il l' est de plus en plus .","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: ""L' @@insuffisance cardiaque## est un problème majeur de santé publique, et il l' est de plus en plus."""
